Game 351 | P1: 29 | P2: 39 | Moves: 20 | Time(ms): 182
Game 352 | P1: 43 | P2: 19 | Moves: 71 | Time(ms): 770
Game 353 | P1: 10 | P2: 46 | Moves: 16 | Time(ms): 193
Game 354 | P1: 33 | P2: 32 | Moves: 19 | Time(ms): 176
Game 355 | P1: 5 | P2: 65 | Moves: 14 | Time(ms): 157
Game 356 | P1: 44 | P2: 17 | Moves: 105 | Time(ms): 1288
Game 357 | P1: 33 | P2: 31 | Moves: 69 | Time(ms): 806
Game 358 | P1: 33 | P2: 23 | Moves: 13 | Time(ms): 144
Game 359 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 120
Game 360 | P1: 41 | P2: 24 | Moves: 83 | Time(ms): 1003
Game 361 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 118
Game 362 | P1: 6 | P2: 57 | Moves: 12 | Time(ms): 159
Game 363 | P1: 37 | P2: 28 | Moves: 68 | Time(ms): 778
Game 364 | P1: 32 | P2: 35 | Moves: 118 | Time(ms): 1492
Game 365 | P1: 43 | P2: 19 | Moves: 111 | Time(ms): 1304
Game 366 | P1: 46 | P2: 18 | Moves: 83 | Time(ms): 958
Game 367 | P1: 37 | P2: 30 | Moves: 23 | Time(ms): 236
Game 368 | P1: 43 | P2: 20 | Moves: 159 | Time(ms): 1889
Game 369 | P1: 49 | P2: 12 | Moves: 21 | Time(ms): 228
Game 370 | P1: 42 | P2: 21 | Moves: 69 | Time(ms): 804
Game 371 | P1: 39 | P2: 2 | Moves: 17 | Time(ms): 176
Game 372 | P1: 43 | P2: 21 | Moves: 47 | Time(ms): 569
Game 373 | P1: 32 | P2: 33 | Moves: 30 | Time(ms): 375
Game 374 | P1: 25 | P2: 37 | Moves: 10 | Time(ms): 117
Game 375 | P1: 23 | P2: 39 | Moves: 15 | Time(ms): 179
Game 376 | P1: 8 | P2: 0 | Moves: 8 | Time(ms): 114
Game 377 | P1: 7 | P2: 58 | Moves: 12 | Time(ms): 151
