Game 217 | P1: 47 | P2: 16 | Moves: 15 | Time(ms): 665
Game 218 | P1: 52 | P2: 13 | Moves: 13 | Time(ms): 587
Game 219 | P1: 46 | P2: 1 | Moves: 7 | Time(ms): 465
Game 220 | P1: 45 | P2: 7 | Moves: 7 | Time(ms): 475
Game 221 | P1: 43 | P2: 14 | Moves: 13 | Time(ms): 939
Game 222 | P1: 50 | P2: 0 | Moves: 13 | Time(ms): 576
Game 223 | P1: 44 | P2: 21 | Moves: 21 | Time(ms): 1051
Game 224 | P1: 55 | P2: 9 | Moves: 11 | Time(ms): 631
Game 225 | P1: 44 | P2: 10 | Moves: 7 | Time(ms): 396
Game 226 | P1: 48 | P2: 14 | Moves: 9 | Time(ms): 603
Game 227 | P1: 58 | P2: 6 | Moves: 7 | Time(ms): 399
Game 228 | P1: 63 | P2: 1 | Moves: 19 | Time(ms): 545
Game 229 | P1: 41 | P2: 21 | Moves: 19 | Time(ms): 2003
Game 230 | P1: 41 | P2: 20 | Moves: 19 | Time(ms): 1860
Game 231 | P1: 47 | P2: 0 | Moves: 11 | Time(ms): 693
Game 232 | P1: 49 | P2: 2 | Moves: 7 | Time(ms): 378
Game 233 | P1: 50 | P2: 2 | Moves: 5 | Time(ms): 281
Game 234 | P1: 57 | P2: 0 | Moves: 13 | Time(ms): 630
Game 235 | P1: 59 | P2: 3 | Moves: 11 | Time(ms): 595
Game 236 | P1: 63 | P2: 0 | Moves: 7 | Time(ms): 359
Game 237 | P1: 41 | P2: 16 | Moves: 11 | Time(ms): 785
Game 238 | P1: 49 | P2: 0 | Moves: 7 | Time(ms): 499
Game 239 | P1: 46 | P2: 1 | Moves: 7 | Time(ms): 516
Game 240 | P1: 42 | P2: 20 | Moves: 19 | Time(ms): 1422
Game 241 | P1: 61 | P2: 2 | Moves: 9 | Time(ms): 504
Game 242 | P1: 58 | P2: 1 | Moves: 9 | Time(ms): 559
Game 243 | P1: 59 | P2: 0 | Moves: 9 | Time(ms): 390
Game 244 | P1: 38 | P2: 1 | Moves: 8 | Time(ms): 396
Game 245 | P1: 57 | P2: 3 | Moves: 13 | Time(ms): 652
Game 246 | P1: 44 | P2: 8 | Moves: 7 | Time(ms): 344
Game 247 | P1: 44 | P2: 0 | Moves: 7 | Time(ms): 412
Game 248 | P1: 9 | P2: 0 | Moves: 6 | Time(ms): 372
Game 249 | P1: 59 | P2: 0 | Moves: 11 | Time(ms): 436
Game 250 | P1: 43 | P2: 2 | Moves: 17 | Time(ms): 544
Game 251 | P1: 42 | P2: 19 | Moves: 73 | Time(ms): 5989
Game 252 | P1: 44 | P2: 13 | Moves: 19 | Time(ms): 1365
Game 253 | P1: 53 | P2: 12 | Moves: 15 | Time(ms): 610
Game 254 | P1: 60 | P2: 1 | Moves: 13 | Time(ms): 640
Game 255 | P1: 51 | P2: 0 | Moves: 7 | Time(ms): 374
Game 256 | P1: 56 | P2: 6 | Moves: 9 | Time(ms): 447
Game 257 | P1: 51 | P2: 14 | Moves: 13 | Time(ms): 619
Game 258 | P1: 46 | P2: 10 | Moves: 15 | Time(ms): 851
Game 259 | P1: 60 | P2: 2 | Moves: 7 | Time(ms): 348
Game 260 | P1: 61 | P2: 0 | Moves: 7 | Time(ms): 326
Game 261 | P1: 13 | P2: 1 | Moves: 6 | Time(ms): 309
Game 262 | P1: 62 | P2: 8 | Moves: 11 | Time(ms): 562
Game 263 | P1: 61 | P2: 1 | Moves: 11 | Time(ms): 592
Game 264 | P1: 36 | P2: 1 | Moves: 10 | Time(ms): 416
Game 265 | P1: 15 | P2: 47 | Moves: 20 | Time(ms): 978
Game 266 | P1: 61 | P2: 4 | Moves: 13 | Time(ms): 537
Game 267 | P1: 70 | P2: 0 | Moves: 5 | Time(ms): 307
Game 268 | P1: 58 | P2: 4 | Moves: 7 | Time(ms): 464
Game 269 | P1: 57 | P2: 9 | Moves: 9 | Time(ms): 542
Game 270 | P1: 49 | P2: 4 | Moves: 7 | Time(ms): 396
Game 271 | P1: 41 | P2: 7 | Moves: 7 | Time(ms): 473
Game 272 | P1: 55 | P2: 0 | Moves: 9 | Time(ms): 504
Game 273 | P1: 61 | P2: 4 | Moves: 9 | Time(ms): 329
Game 274 | P1: 48 | P2: 0 | Moves: 7 | Time(ms): 425
Game 275 | P1: 44 | P2: 16 | Moves: 15 | Time(ms): 794
Game 276 | P1: 50 | P2: 1 | Moves: 9 | Time(ms): 348
Game 277 | P1: 41 | P2: 19 | Moves: 9 | Time(ms): 547
Game 278 | P1: 41 | P2: 21 | Moves: 15 | Time(ms): 1187
Game 279 | P1: 63 | P2: 0 | Moves: 11 | Time(ms): 694
Game 280 | P1: 57 | P2: 3 | Moves: 9 | Time(ms): 607
Game 281 | P1: 13 | P2: 57 | Moves: 6 | Time(ms): 319
Game 282 | P1: 60 | P2: 1 | Moves: 11 | Time(ms): 413
Game 283 | P1: 59 | P2: 4 | Moves: 11 | Time(ms): 457
Game 284 | P1: 50 | P2: 11 | Moves: 9 | Time(ms): 602
Game 285 | P1: 57 | P2: 5 | Moves: 13 | Time(ms): 575
Game 286 | P1: 65 | P2: 0 | Moves: 11 | Time(ms): 430
Game 287 | P1: 43 | P2: 17 | Moves: 39 | Time(ms): 3819
Game 288 | P1: 50 | P2: 15 | Moves: 11 | Time(ms): 599
Game 289 | P1: 53 | P2: 11 | Moves: 13 | Time(ms): 498
Game 290 | P1: 56 | P2: 3 | Moves: 13 | Time(ms): 375
