Game 204 | P1: 43 | P2: 14 | Moves: 71
Game 205 | P1: 35 | P2: 30 | Moves: 92
Game 206 | P1: 32 | P2: 19 | Moves: 13
Game 207 | P1: 31 | P2: 29 | Moves: 14
Game 208 | P1: 33 | P2: 37 | Moves: 60
Game 209 | P1: 9 | P2: 48 | Moves: 14
Game 210 | P1: 37 | P2: 27 | Moves: 25
Game 211 | P1: 13 | P2: 52 | Moves: 40
Game 212 | P1: 31 | P2: 31 | Moves: 21
Game 213 | P1: 40 | P2: 22 | Moves: 15
Game 214 | P1: 33 | P2: 29 | Moves: 15
Game 215 | P1: 36 | P2: 31 | Moves: 112
Game 216 | P1: 40 | P2: 22 | Moves: 15
Game 217 | P1: 11 | P2: 57 | Moves: 14
Game 218 | P1: 11 | P2: 57 | Moves: 14
Game 219 | P1: 49 | P2: 17 | Moves: 27
Game 220 | P1: 13 | P2: 48 | Moves: 24
Game 221 | P1: 42 | P2: 15 | Moves: 25
Game 222 | P1: 11 | P2: 54 | Moves: 14
Game 223 | P1: 41 | P2: 17 | Moves: 49
Game 224 | P1: 13 | P2: 52 | Moves: 22
Game 225 | P1: 36 | P2: 29 | Moves: 76
Game 226 | P1: 32 | P2: 35 | Moves: 19
Game 227 | P1: 11 | P2: 54 | Moves: 14
Game 228 | P1: 52 | P2: 18 | Moves: 15
Game 229 | P1: 32 | P2: 19 | Moves: 13
Game 230 | P1: 40 | P2: 21 | Moves: 200
Game 231 | P1: 33 | P2: 31 | Moves: 25
Game 232 | P1: 11 | P2: 57 | Moves: 14
Game 233 | P1: 37 | P2: 28 | Moves: 17
Game 234 | P1: 22 | P2: 41 | Moves: 84
Game 235 | P1: 6 | P2: 52 | Moves: 14
Game 236 | P1: 31 | P2: 36 | Moves: 27
Game 237 | P1: 11 | P2: 57 | Moves: 14
Game 238 | P1: 11 | P2: 54 | Moves: 14
Game 239 | P1: 17 | P2: 47 | Moves: 22
Game 240 | P1: 8 | P2: 56 | Moves: 14
Game 241 | P1: 7 | P2: 47 | Moves: 12
Game 242 | P1: 6 | P2: 52 | Moves: 14
Game 243 | P1: 22 | P2: 42 | Moves: 52
Game 244 | P1: 31 | P2: 33 | Moves: 135
Game 245 | P1: 16 | P2: 50 | Moves: 26
Game 246 | P1: 38 | P2: 27 | Moves: 23
Game 247 | P1: 9 | P2: 43 | Moves: 16
Game 248 | P1: 32 | P2: 19 | Moves: 13
Game 249 | P1: 4 | P2: 59 | Moves: 30
Game 250 | P1: 39 | P2: 25 | Moves: 200
Game 251 | P1: 18 | P2: 42 | Moves: 12
Game 252 | P1: 9 | P2: 52 | Moves: 14
Game 253 | P1: 9 | P2: 61 | Moves: 22
Game 254 | P1: 31 | P2: 31 | Moves: 21
Game 255 | P1: 30 | P2: 36 | Moves: 18
Game 256 | P1: 42 | P2: 17 | Moves: 95
Game 257 | P1: 34 | P2: 31 | Moves: 74
Game 258 | P1: 7 | P2: 58 | Moves: 24
Game 259 | P1: 10 | P2: 53 | Moves: 38
Game 260 | P1: 7 | P2: 47 | Moves: 12
Game 261 | P1: 11 | P2: 57 | Moves: 14
Game 262 | P1: 26 | P2: 38 | Moves: 200
Game 263 | P1: 37 | P2: 27 | Moves: 25
Game 264 | P1: 11 | P2: 57 | Moves: 14
Game 265 | P1: 11 | P2: 57 | Moves: 14
Game 266 | P1: 23 | P2: 42 | Moves: 20
Game 267 | P1: 12 | P2: 54 | Moves: 22
Game 268 | P1: 32 | P2: 34 | Moves: 39
Game 269 | P1: 11 | P2: 57 | Moves: 14
Game 270 | P1: 30 | P2: 36 | Moves: 18
Game 271 | P1: 40 | P2: 22 | Moves: 15
Game 272 | P1: 32 | P2: 19 | Moves: 13
Game 273 | P1: 15 | P2: 48 | Moves: 16
Game 274 | P1: 40 | P2: 24 | Moves: 71
Game 275 | P1: 32 | P2: 19 | Moves: 13
Game 276 | P1: 6 | P2: 52 | Moves: 14
Game 277 | P1: 32 | P2: 19 | Moves: 13
Game 278 | P1: 19 | P2: 41 | Moves: 72
Game 279 | P1: 13 | P2: 44 | Moves: 22
Game 280 | P1: 8 | P2: 52 | Moves: 14
Game 281 | P1: 11 | P2: 57 | Moves: 14
Game 282 | P1: 32 | P2: 19 | Moves: 13
Game 283 | P1: 55 | P2: 10 | Moves: 23
Game 284 | P1: 32 | P2: 19 | Moves: 13
Game 285 | P1: 9 | P2: 43 | Moves: 14
Game 286 | P1: 30 | P2: 36 | Moves: 18
Game 287 | P1: 11 | P2: 57 | Moves: 14
Game 288 | P1: 39 | P2: 26 | Moves: 75
Game 289 | P1: 34 | P2: 31 | Moves: 134
Game 290 | P1: 32 | P2: 19 | Moves: 13
Game 291 | P1: 32 | P2: 19 | Moves: 13
Game 292 | P1: 32 | P2: 19 | Moves: 13
Game 293 | P1: 43 | P2: 14 | Moves: 111
Game 294 | P1: 9 | P2: 43 | Moves: 14
Game 295 | P1: 29 | P2: 41 | Moves: 44
Game 296 | P1: 11 | P2: 57 | Moves: 14
Game 297 | P1: 33 | P2: 29 | Moves: 15
Game 298 | P1: 11 | P2: 54 | Moves: 14
Game 299 | P1: 11 | P2: 57 | Moves: 14
Game 300 | P1: 32 | P2: 19 | Moves: 13
Game 301 | P1: 8 | P2: 56 | Moves: 28
