Game 328 | P1: 26 | P2: 42 | Moves: 28
Game 329 | P1: 20 | P2: 42 | Moves: 66
Game 330 | P1: 11 | P2: 53 | Moves: 28
Game 331 | P1: 42 | P2: 18 | Moves: 23
Game 332 | P1: 56 | P2: 2 | Moves: 9
Game 333 | P1: 41 | P2: 22 | Moves: 77
Game 334 | P1: 25 | P2: 36 | Moves: 92
Game 335 | P1: 12 | P2: 49 | Moves: 24
Game 336 | P1: 42 | P2: 25 | Moves: 121
Game 337 | P1: 41 | P2: 10 | Moves: 11
Game 338 | P1: 41 | P2: 5 | Moves: 13
Game 339 | P1: 9 | P2: 56 | Moves: 30
Game 340 | P1: 59 | P2: 3 | Moves: 9
Game 341 | P1: 34 | P2: 32 | Moves: 26
Game 342 | P1: 8 | P2: 35 | Moves: 12
Game 343 | P1: 18 | P2: 42 | Moves: 38
Game 344 | P1: 41 | P2: 1 | Moves: 7
Game 345 | P1: 24 | P2: 41 | Moves: 26
Game 346 | P1: 57 | P2: 10 | Moves: 21
Game 347 | P1: 28 | P2: 33 | Moves: 91
Game 348 | P1: 24 | P2: 40 | Moves: 84
Game 349 | P1: 43 | P2: 15 | Moves: 25
Game 350 | P1: 42 | P2: 25 | Moves: 25
Game 351 | P1: 33 | P2: 36 | Moves: 42
Game 352 | P1: 42 | P2: 20 | Moves: 27
Game 353 | P1: 39 | P2: 29 | Moves: 19
Game 354 | P1: 28 | P2: 36 | Moves: 32
Game 355 | P1: 23 | P2: 0 | Moves: 3
Game 356 | P1: 48 | P2: 20 | Moves: 33
Game 357 | P1: 14 | P2: 48 | Moves: 22
Game 358 | P1: 44 | P2: 0 | Moves: 13
Game 359 | P1: 63 | P2: 2 | Moves: 29
Game 360 | P1: 4 | P2: 8 | Moves: 5
Game 361 | P1: 43 | P2: 16 | Moves: 27
Game 362 | P1: 65 | P2: 5 | Moves: 17
Game 363 | P1: 20 | P2: 41 | Moves: 98
Game 364 | P1: 23 | P2: 0 | Moves: 3
Game 365 | P1: 45 | P2: 19 | Moves: 69
Game 366 | P1: 52 | P2: 12 | Moves: 23
Game 367 | P1: 17 | P2: 48 | Moves: 20
Game 368 | P1: 4 | P2: 64 | Moves: 20
Game 369 | P1: 56 | P2: 4 | Moves: 21
Game 370 | P1: 62 | P2: 4 | Moves: 41
Game 371 | P1: 66 | P2: 1 | Moves: 25
Game 372 | P1: 39 | P2: 29 | Moves: 17
Game 373 | P1: 59 | P2: 0 | Moves: 13
Game 374 | P1: 56 | P2: 3 | Moves: 11
Game 375 | P1: 34 | P2: 34 | Moves: 28
Game 376 | P1: 41 | P2: 23 | Moves: 27
Game 377 | P1: 35 | P2: 4 | Moves: 19
Game 378 | P1: 11 | P2: 54 | Moves: 28
Game 379 | P1: 24 | P2: 42 | Moves: 56
Game 380 | P1: 8 | P2: 54 | Moves: 26
Game 381 | P1: 44 | P2: 20 | Moves: 73
Game 382 | P1: 53 | P2: 12 | Moves: 17
Game 383 | P1: 22 | P2: 0 | Moves: 6
Game 384 | P1: 42 | P2: 2 | Moves: 15
Game 385 | P1: 6 | P2: 51 | Moves: 10
Game 386 | P1: 16 | P2: 43 | Moves: 26
Game 387 | P1: 18 | P2: 42 | Moves: 70
Game 388 | P1: 28 | P2: 37 | Moves: 72
Game 389 | P1: 41 | P2: 21 | Moves: 17
Game 390 | P1: 42 | P2: 2 | Moves: 13
Game 391 | P1: 33 | P2: 36 | Moves: 12
Game 392 | P1: 3 | P2: 60 | Moves: 24
Game 393 | P1: 3 | P2: 62 | Moves: 32
Game 394 | P1: 39 | P2: 29 | Moves: 25
Game 395 | P1: 57 | P2: 1 | Moves: 11
Game 396 | P1: 57 | P2: 8 | Moves: 37
Game 397 | P1: 20 | P2: 42 | Moves: 22
Game 398 | P1: 49 | P2: 21 | Moves: 23
Game 399 | P1: 4 | P2: 52 | Moves: 22
Game 400 | P1: 7 | P2: 50 | Moves: 10
Game 401 | P1: 47 | P2: 18 | Moves: 31
Game 402 | P1: 3 | P2: 57 | Moves: 22
Game 403 | P1: 64 | P2: 1 | Moves: 5
Game 404 | P1: 53 | P2: 5 | Moves: 19
Game 405 | P1: 41 | P2: 24 | Moves: 43
Game 406 | P1: 29 | P2: 36 | Moves: 71
Game 407 | P1: 19 | P2: 42 | Moves: 36
Game 408 | P1: 16 | P2: 41 | Moves: 104
Game 409 | P1: 44 | P2: 16 | Moves: 21
Game 410 | P1: 13 | P2: 3 | Moves: 10
Game 411 | P1: 4 | P2: 38 | Moves: 14
Game 412 | P1: 36 | P2: 32 | Moves: 30
Game 413 | P1: 9 | P2: 48 | Moves: 14
Game 414 | P1: 42 | P2: 26 | Moves: 57
Game 415 | P1: 42 | P2: 22 | Moves: 77
Game 416 | P1: 17 | P2: 42 | Moves: 26
Game 417 | P1: 53 | P2: 6 | Moves: 37
Game 418 | P1: 13 | P2: 50 | Moves: 14
Game 419 | P1: 41 | P2: 15 | Moves: 13
Game 420 | P1: 12 | P2: 3 | Moves: 4
Game 421 | P1: 32 | P2: 36 | Moves: 43
Game 422 | P1: 33 | P2: 29 | Moves: 11
Game 423 | P1: 19 | P2: 41 | Moves: 26
Game 424 | P1: 41 | P2: 22 | Moves: 35
Game 425 | P1: 43 | P2: 3 | Moves: 5
Game 426 | P1: 27 | P2: 42 | Moves: 56
Game 427 | P1: 4 | P2: 41 | Moves: 14
Game 428 | P1: 9 | P2: 55 | Moves: 8
Game 429 | P1: 41 | P2: 19 | Moves: 35
Game 430 | P1: 10 | P2: 54 | Moves: 20
Game 431 | P1: 34 | P2: 33 | Moves: 145
Game 432 | P1: 0 | P2: 44 | Moves: 6
Game 433 | P1: 28 | P2: 41 | Moves: 20
Game 434 | P1: 43 | P2: 13 | Moves: 13
Game 435 | P1: 36 | P2: 32 | Moves: 23
Game 436 | P1: 35 | P2: 25 | Moves: 17
Game 437 | P1: 30 | P2: 25 | Moves: 15
Game 438 | P1: 63 | P2: 4 | Moves: 23
Game 439 | P1: 8 | P2: 4 | Moves: 4
Game 440 | P1: 14 | P2: 41 | Moves: 16
Game 441 | P1: 39 | P2: 30 | Moves: 190
Game 442 | P1: 53 | P2: 0 | Moves: 13
Game 443 | P1: 27 | P2: 38 | Moves: 29
Game 444 | P1: 47 | P2: 19 | Moves: 39
Game 445 | P1: 37 | P2: 31 | Moves: 66
Game 446 | P1: 43 | P2: 18 | Moves: 27
Game 447 | P1: 8 | P2: 47 | Moves: 8
Game 448 | P1: 61 | P2: 2 | Moves: 37
Game 449 | P1: 19 | P2: 42 | Moves: 70
Game 450 | P1: 40 | P2: 26 | Moves: 20
Game 451 | P1: 4 | P2: 23 | Moves: 45
Game 452 | P1: 57 | P2: 1 | Moves: 15
Game 453 | P1: 45 | P2: 20 | Moves: 19
Game 454 | P1: 32 | P2: 36 | Moves: 16
Game 455 | P1: 41 | P2: 2 | Moves: 13
Game 456 | P1: 59 | P2: 0 | Moves: 9
Game 457 | P1: 42 | P2: 9 | Moves: 15
Game 458 | P1: 16 | P2: 46 | Moves: 148
Game 459 | P1: 41 | P2: 23 | Moves: 67
Game 460 | P1: 27 | P2: 40 | Moves: 82
Game 461 | P1: 42 | P2: 19 | Moves: 51
Game 462 | P1: 6 | P2: 43 | Moves: 10
