Game 208 | P1: 62 | P2: 8 | Moves: 9
Game 209 | P1: 57 | P2: 1 | Moves: 9
Game 210 | P1: 42 | P2: 23 | Moves: 17
Game 211 | P1: 45 | P2: 18 | Moves: 17
Game 212 | P1: 41 | P2: 18 | Moves: 21
Game 213 | P1: 41 | P2: 26 | Moves: 19
Game 214 | P1: 44 | P2: 17 | Moves: 77
Game 215 | P1: 41 | P2: 2 | Moves: 11
Game 216 | P1: 36 | P2: 0 | Moves: 8
Game 217 | P1: 56 | P2: 5 | Moves: 9
Game 218 | P1: 43 | P2: 0 | Moves: 9
Game 219 | P1: 53 | P2: 13 | Moves: 13
Game 220 | P1: 44 | P2: 7 | Moves: 13
Game 221 | P1: 47 | P2: 13 | Moves: 39
Game 222 | P1: 39 | P2: 0 | Moves: 9
Game 223 | P1: 45 | P2: 20 | Moves: 11
Game 224 | P1: 44 | P2: 5 | Moves: 9
Game 225 | P1: 46 | P2: 0 | Moves: 7
Game 226 | P1: 49 | P2: 6 | Moves: 7
Game 227 | P1: 51 | P2: 6 | Moves: 11
Game 228 | P1: 47 | P2: 4 | Moves: 7
Game 229 | P1: 42 | P2: 15 | Moves: 37
Game 230 | P1: 34 | P2: 29 | Moves: 8
Game 231 | P1: 60 | P2: 2 | Moves: 9
Game 232 | P1: 43 | P2: 11 | Moves: 9
Game 233 | P1: 42 | P2: 15 | Moves: 11
Game 234 | P1: 41 | P2: 16 | Moves: 13
Game 235 | P1: 52 | P2: 10 | Moves: 13
Game 236 | P1: 44 | P2: 0 | Moves: 5
Game 237 | P1: 53 | P2: 3 | Moves: 9
Game 238 | P1: 64 | P2: 3 | Moves: 7
Game 239 | P1: 41 | P2: 23 | Moves: 47
Game 240 | P1: 41 | P2: 17 | Moves: 9
Game 241 | P1: 47 | P2: 0 | Moves: 7
Game 242 | P1: 53 | P2: 12 | Moves: 15
Game 243 | P1: 45 | P2: 17 | Moves: 21
Game 244 | P1: 43 | P2: 16 | Moves: 29
Game 245 | P1: 43 | P2: 22 | Moves: 23
Game 246 | P1: 56 | P2: 10 | Moves: 13
Game 247 | P1: 23 | P2: 0 | Moves: 3
Game 248 | P1: 39 | P2: 0 | Moves: 11
Game 249 | P1: 33 | P2: 0 | Moves: 5
Game 250 | P1: 42 | P2: 1 | Moves: 13
Game 251 | P1: 7 | P2: 52 | Moves: 14
Game 252 | P1: 55 | P2: 0 | Moves: 7
Game 253 | P1: 41 | P2: 9 | Moves: 9
Game 254 | P1: 45 | P2: 12 | Moves: 21
Game 255 | P1: 51 | P2: 0 | Moves: 7
Game 256 | P1: 28 | P2: 38 | Moves: 16
Game 257 | P1: 53 | P2: 11 | Moves: 17
Game 258 | P1: 48 | P2: 15 | Moves: 13
Game 259 | P1: 41 | P2: 20 | Moves: 43
Game 260 | P1: 50 | P2: 1 | Moves: 11
Game 261 | P1: 50 | P2: 0 | Moves: 7
Game 262 | P1: 23 | P2: 0 | Moves: 3
Game 263 | P1: 55 | P2: 14 | Moves: 13
Game 264 | P1: 57 | P2: 1 | Moves: 15
Game 265 | P1: 44 | P2: 0 | Moves: 7
Game 266 | P1: 45 | P2: 0 | Moves: 11
Game 267 | P1: 43 | P2: 3 | Moves: 13
Game 268 | P1: 50 | P2: 9 | Moves: 11
Game 269 | P1: 46 | P2: 17 | Moves: 11
Game 270 | P1: 34 | P2: 26 | Moves: 9
Game 271 | P1: 35 | P2: 3 | Moves: 9
Game 272 | P1: 40 | P2: 1 | Moves: 8
Game 273 | P1: 25 | P2: 34 | Moves: 14
Game 274 | P1: 47 | P2: 15 | Moves: 11
Game 275 | P1: 57 | P2: 3 | Moves: 9
Game 276 | P1: 42 | P2: 21 | Moves: 25
Game 277 | P1: 41 | P2: 21 | Moves: 41
Game 278 | P1: 41 | P2: 7 | Moves: 9
Game 279 | P1: 44 | P2: 1 | Moves: 9
Game 280 | P1: 23 | P2: 0 | Moves: 3
Game 281 | P1: 58 | P2: 7 | Moves: 11
Game 282 | P1: 45 | P2: 11 | Moves: 13
Game 283 | P1: 42 | P2: 1 | Moves: 9
Game 284 | P1: 49 | P2: 0 | Moves: 9
Game 285 | P1: 42 | P2: 10 | Moves: 11
Game 286 | P1: 38 | P2: 29 | Moves: 19
Game 287 | P1: 41 | P2: 3 | Moves: 9
Game 288 | P1: 42 | P2: 0 | Moves: 9
Game 289 | P1: 46 | P2: 2 | Moves: 7
Game 290 | P1: 23 | P2: 0 | Moves: 3
Game 291 | P1: 51 | P2: 7 | Moves: 15
Game 292 | P1: 41 | P2: 0 | Moves: 7
Game 293 | P1: 23 | P2: 0 | Moves: 3
Game 294 | P1: 52 | P2: 8 | Moves: 9
Game 295 | P1: 66 | P2: 2 | Moves: 9
Game 296 | P1: 53 | P2: 0 | Moves: 7
Game 297 | P1: 55 | P2: 8 | Moves: 13
Game 298 | P1: 43 | P2: 5 | Moves: 9
Game 299 | P1: 23 | P2: 39 | Moves: 12
Game 300 | P1: 53 | P2: 3 | Moves: 9
Game 301 | P1: 38 | P2: 28 | Moves: 17
Game 302 | P1: 42 | P2: 0 | Moves: 7
Game 303 | P1: 41 | P2: 25 | Moves: 17
Game 304 | P1: 46 | P2: 11 | Moves: 9
Game 305 | P1: 41 | P2: 4 | Moves: 9
Game 306 | P1: 44 | P2: 15 | Moves: 49
Game 307 | P1: 45 | P2: 5 | Moves: 15
Game 308 | P1: 43 | P2: 0 | Moves: 11
Game 309 | P1: 60 | P2: 6 | Moves: 19
Game 310 | P1: 46 | P2: 11 | Moves: 9
Game 311 | P1: 42 | P2: 22 | Moves: 33
Game 312 | P1: 44 | P2: 6 | Moves: 9
Game 313 | P1: 54 | P2: 9 | Moves: 9
Game 314 | P1: 52 | P2: 6 | Moves: 7
Game 315 | P1: 43 | P2: 14 | Moves: 85
Game 316 | P1: 45 | P2: 7 | Moves: 11
Game 317 | P1: 23 | P2: 0 | Moves: 3
Game 318 | P1: 57 | P2: 5 | Moves: 17
Game 319 | P1: 39 | P2: 4 | Moves: 16
Game 320 | P1: 50 | P2: 3 | Moves: 7
Game 321 | P1: 57 | P2: 3 | Moves: 9
Game 322 | P1: 60 | P2: 2 | Moves: 9
Game 323 | P1: 41 | P2: 18 | Moves: 49
Game 324 | P1: 52 | P2: 11 | Moves: 9
Game 325 | P1: 41 | P2: 4 | Moves: 9
Game 326 | P1: 44 | P2: 0 | Moves: 7
Game 327 | P1: 59 | P2: 1 | Moves: 13
Game 328 | P1: 44 | P2: 14 | Moves: 9
Game 329 | P1: 27 | P2: 3 | Moves: 6
Game 330 | P1: 42 | P2: 8 | Moves: 13
Game 331 | P1: 48 | P2: 3 | Moves: 15
Game 332 | P1: 44 | P2: 0 | Moves: 7
Game 333 | P1: 45 | P2: 20 | Moves: 17
Game 334 | P1: 46 | P2: 0 | Moves: 9
Game 335 | P1: 41 | P2: 16 | Moves: 11
Game 336 | P1: 49 | P2: 10 | Moves: 37
Game 337 | P1: 58 | P2: 0 | Moves: 9
Game 338 | P1: 42 | P2: 12 | Moves: 23
Game 339 | P1: 46 | P2: 14 | Moves: 11
Game 340 | P1: 56 | P2: 8 | Moves: 19
Game 341 | P1: 42 | P2: 0 | Moves: 11
Game 342 | P1: 23 | P2: 0 | Moves: 3
Game 343 | P1: 44 | P2: 0 | Moves: 7
Game 344 | P1: 52 | P2: 6 | Moves: 9
Game 345 | P1: 42 | P2: 0 | Moves: 7
Game 346 | P1: 38 | P2: 1 | Moves: 8
Game 347 | P1: 60 | P2: 2 | Moves: 19
Game 348 | P1: 42 | P2: 18 | Moves: 63
Game 349 | P1: 41 | P2: 19 | Moves: 19
Game 350 | P1: 46 | P2: 4 | Moves: 13
Game 351 | P1: 43 | P2: 2 | Moves: 7
Game 352 | P1: 45 | P2: 24 | Moves: 19
Game 353 | P1: 48 | P2: 3 | Moves: 7
Game 354 | P1: 42 | P2: 23 | Moves: 11
Game 355 | P1: 41 | P2: 28 | Moves: 21
Game 356 | P1: 42 | P2: 18 | Moves: 15
Game 357 | P1: 44 | P2: 12 | Moves: 43
Game 358 | P1: 63 | P2: 1 | Moves: 7
Game 359 | P1: 46 | P2: 7 | Moves: 9
Game 360 | P1: 28 | P2: 39 | Moves: 14
Game 361 | P1: 15 | P2: 45 | Moves: 6
Game 362 | P1: 45 | P2: 0 | Moves: 9
Game 363 | P1: 34 | P2: 4 | Moves: 16
Game 364 | P1: 59 | P2: 1 | Moves: 15
Game 365 | P1: 42 | P2: 23 | Moves: 15
Game 366 | P1: 43 | P2: 3 | Moves: 11
Game 367 | P1: 41 | P2: 1 | Moves: 9
Game 368 | P1: 37 | P2: 32 | Moves: 26
Game 369 | P1: 55 | P2: 7 | Moves: 11
Game 370 | P1: 70 | P2: 0 | Moves: 9
Game 371 | P1: 39 | P2: 1 | Moves: 11
Game 372 | P1: 22 | P2: 4 | Moves: 18
Game 373 | P1: 39 | P2: 28 | Moves: 15
Game 374 | P1: 44 | P2: 0 | Moves: 5
Game 375 | P1: 56 | P2: 4 | Moves: 9
Game 376 | P1: 42 | P2: 6 | Moves: 17
Game 377 | P1: 61 | P2: 3 | Moves: 7
Game 378 | P1: 24 | P2: 43 | Moves: 14
Game 379 | P1: 60 | P2: 2 | Moves: 9
Game 380 | P1: 58 | P2: 1 | Moves: 9
